iter	Passed	Remaining
477	662	723
478	664	722
479	665	720
480	666	719
481	667	717
482	668	716
483	670	714
484	671	712
485	672	711
486	673	709
487	674	707
488	675	706
489	677	704
490	678	703
491	679	701
492	680	700
493	681	698
494	683	696
495	684	695
496	685	693
497	686	692
498	687	690
499	688	688
500	689	687
501	690	685
502	691	683
503	692	681
504	693	680
505	694	678
506	696	676
507	697	675
508	698	673
509	699	671
510	700	669
511	701	668
512	702	666
513	703	665
514	705	664
515	706	662
516	707	660
517	708	659
518	709	657
519	710	656
520	711	654
521	712	652
522	714	651
523	716	650
524	717	649
525	718	647
526	720	646
527	721	644
528	722	643
529	723	641
530	724	639
531	725	637
532	726	636
533	727	635
534	729	633
535	729	631
536	731	630
537	732	628
538	733	627
539	734	625
540	736	624
541	737	622
542	737	621
543	739	619
544	740	618
545	741	616
546	742	615
547	743	613
548	744	611
549	746	610
550	747	608
551	748	607
552	749	605
553	750	603
554	750	602
555	752	600
556	753	599
557	754	597
558	755	595
559	756	594
560	757	592
561	758	591
562	759	589
563	760	588
564	761	586
565	762	584
566	764	583
567	765	582
568	767	581
569	767	579
570	769	577
571	770	576
572	771	574
573	772	573
574	773	571
575	774	570
576	775	568
577	776	566
578	777	565
579	778	563
580	779	562
581	780	560
582	781	558
583	782	557
584	783	556
585	785	554
586	786	553
587	787	551
588	788	549
589	789	548
590	790	547
591	792	545
592	793	544
593	793	542
594	794	540
595	796	539
596	797	538
597	798	536
598	798	534
599	800	533
600	800	531
601	802	530
602	803	529
603	804	527
604	805	526
605	806	524
606	808	523
607	809	521
608	810	520
609	811	519
610	812	517
611	813	515
612	815	514
613	816	513
614	817	511
615	818	510
616	819	508
617	820	507
618	821	505
619	822	504
620	824	502
621	825	501
622	825	499
623	827	498
624	829	497
625	830	496
626	831	494
627	832	493
628	833	491
629	835	490
630	835	488
631	836	487
632	837	485
633	838	484
634	840	482
635	841	481
636	842	479
637	843	478
638	843	476
639	844	475
640	846	474
641	848	472
642	848	471
643	849	469
644	850	468
645	851	466
646	852	465
647	853	463
648	855	462
649	856	461
650	857	459
651	859	458
652	860	457
653	861	455
654	862	454
655	863	452
656	865	451
657	866	450
658	867	448
659	868	447
660	869	446
661	871	444
662	872	443
663	873	441
664	874	440
665	875	438
666	876	437
667	877	436
668	878	434
669	879	433
670	880	431
671	881	430
672	882	428
673	884	427
674	885	426
675	886	424
676	887	423
677	888	421
678	888	420
679	890	419
680	891	417
681	892	416
682	893	414
683	894	413
684	895	411
685	896	410
686	897	409
687	898	407
688	899	406
689	900	404
690	901	403
691	903	401
692	903	400
693	905	399
694	906	397
695	907	396
696	908	394
697	909	393
698	910	392
699	911	390
700	912	389
701	913	387
702	915	386
703	916	385
704	917	383
705	918	382
706	919	380
707	919	379
708	921	378
709	922	376
710	923	375
711	924	373
712	924	372
713	925	370
714	926	369
715	928	368
716	929	366
717	930	365
718	931	363
719	932	362
720	933	361
721	934	359
722	936	358
723	937	357
724	938	355
725	938	354
726	940	353
727	942	352
728	943	350
729	944	349
730	945	347
731	946	346
732	947	345
733	948	343
734	949	342
735	950	340
736	951	339
737	952	338
738	954	337
739	955	335
740	956	334
741	956	332
742	958	331
743	959	330
744	960	328
745	961	327
746	962	326
747	963	324
748	965	323
749	966	322
750	967	320
751	968	319
752	969	318
753	971	316
754	972	315
755	973	314
756	974	312
757	974	311
758	975	309
759	977	308
760	979	307
761	980	306
762	981	304
763	982	303
764	984	302
765	985	300
766	986	299
767	987	298
768	988	296
769	990	295
770	991	294
771	992	293
772	993	291
773	995	290
774	996	289
775	998	288
776	998	286
777	999	285
778	1000	283
779	1002	282
780	1003	281
781	1004	280
782	1006	278
783	1007	277
784	1008	276
785	1010	275
786	1010	273
787	1011	272
788	1012	270
789	1014	269
790	1015	268
791	1016	267
792	1017	265
793	1018	264
794	1020	263
795	1021	261
796	1023	260
797	1023	259
798	1024	257
799	1026	256
800	1027	255
801	1029	254
802	1030	252
803	1031	251
804	1032	250
805	1033	248
806	1034	247
807	1036	246
808	1037	244
809	1038	243
810	1039	242
811	1041	241
812	1042	239
813	1042	238
814	1043	236
815	1044	235
816	1046	234
817	1047	233
818	1048	231
819	1049	230
820	1050	229
821	1052	227
822	1053	226
823	1054	225
824	1055	223
825	1056	222
826	1058	221
827	1059	220
828	1060	218
829	1061	217
830	1062	216
831	1063	214
832	1064	213
833	1066	212
834	1067	210
835	1068	209
836	1070	208
837	1071	207
838	1073	205
839	1074	204
840	1075	203
841	1076	202
842	1078	200
843	1079	199
844	1080	198
845	1081	196
846	1083	195
847	1085	194
848	1086	193
849	1086	191
850	1087	190
851	1089	189
852	1090	188
853	1091	186
854	1092	185
855	1093	183
856	1095	182
857	1096	181
858	1098	180
859	1099	178
860	1099	177
861	1101	176
862	1102	175
863	1104	173
864	1105	172
865	1106	171
866	1107	169
867	1108	168
868	1109	167
869	1110	165
870	1111	164
871	1112	163
872	1113	161
873	1114	160
874	1115	159
875	1116	158
876	1117	156
877	1118	155
878	1119	154
879	1121	152
880	1122	151
881	1123	150
882	1124	148
883	1125	147
884	1126	146
885	1127	145
886	1129	143
887	1130	142
888	1131	141
889	1131	139
890	1133	138
891	1135	137
892	1136	136
893	1137	134
894	1137	133
895	1140	132
896	1141	131
897	1142	129
898	1143	128
899	1146	127
900	1147	126
901	1148	124
902	1149	123
903	1151	122
904	1152	120
905	1153	119
906	1154	118
907	1155	117
908	1156	115
909	1158	114
910	1159	113
911	1161	112
912	1161	110
913	1163	109
914	1165	108
915	1166	106
916	1167	105
917	1168	104
918	1170	103
919	1171	101
920	1172	100
921	1173	99
922	1174	97
923	1176	96
924	1178	95
925	1179	94
926	1180	92
927	1181	91
928	1183	90
929	1184	89
930	1185	87
931	1186	86
932	1187	85
933	1189	84
934	1191	82
935	1192	81
936	1193	80
937	1194	78
938	1195	77
939	1197	76
940	1197	75
941	1198	73
942	1199	72
943	1201	71
944	1202	69
945	1203	68
946	1204	67
947	1205	66
948	1206	64
949	1208	63
950	1210	62
951	1211	61
952	1212	59
953	1213	58
954	1214	57
955	1216	55
956	1217	54
957	1218	53
958	1220	52
959	1221	50
960	1222	49
961	1223	48
962	1223	47
963	1224	45
964	1226	44
965	1227	43
966	1228	41
967	1229	40
968	1230	39
969	1231	38
970	1232	36
971	1233	35
972	1235	34
973	1236	32
974	1236	31
975	1238	30
976	1239	29
977	1240	27
978	1241	26
979	1242	25
980	1243	24
981	1244	22
982	1245	21
983	1247	20
984	1248	19
985	1249	17
986	1250	16
987	1251	15
988	1253	13
989	1253	12
990	1254	11
991	1255	10
992	1256	8
993	1258	7
994	1259	6
995	1260	5
996	1261	3
997	1261	2
998	1262	1
999	1263	0
